Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kononowicz A.A., Zary N., Davies D., Heid J., Woodham L., Hege I.","35225095500;12776065800;57189684244;8423820600;35225419000;6506755692;","Push and pull models to manage patient consent and licensing of multimedia resources in digital repositories for case-based reasoning",2011,"Studies in Health Technology and Informatics","169",,,"203","207",,3,"10.3233/978-1-60750-806-9-203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83055168217&doi=10.3233%2f978-1-60750-806-9-203&partnerID=40&md5=32fac2b07dedb1e8e1b80aae6cbc4cd2","Department of Bioinformatics and Telemedicine, Jagiellonian University Medical College, Łazarza 16, Kraków, Poland; Karolinska Institutet, Stockholm, Sweden; Warwick University, United Kingdom; Centre for Virtual Patients, University of Heidelberg, Germany; E-learning Unit, St. george'S, University of London, United Kingdom; Medical Education Unit, University of Munich (LMU), Germany","Kononowicz, A.A., Department of Bioinformatics and Telemedicine, Jagiellonian University Medical College, Łazarza 16, Kraków, Poland; Zary, N., Karolinska Institutet, Stockholm, Sweden; Davies, D., Warwick University, United Kingdom; Heid, J., Centre for Virtual Patients, University of Heidelberg, Germany; Woodham, L., E-learning Unit, St. george'S, University of London, United Kingdom; Hege, I., Medical Education Unit, University of Munich (LMU), Germany","Patient consents for distribution of multimedia constitute a significant element of medical case-based repositories in medicine. A technical challenge is posed by the right of patients to withdraw permission to disseminate their images or videos. A technical mechanism for spreading information about changes in multimedia usage licenses is sought. The authors gained their experience by developing and managing a large (>340 cases) repository of virtual patients within the European project eViP. The solution for dissemination of license status should reuse and extend existing metadata standards in medical education. Two methods: PUSH and PULL are described differing in the moment of update and the division of responsibilities between parties in the learning object exchange process. The authors recommend usage of the PUSH scenario because it is better adapted to legal requirements in many countries. It needs to be stressed that the solution is based on mutual trust of the exchange partners and therefore is most appropriate for use in educational alliances and consortia. It is hoped that the proposed models for exchanging consents and licensing information will become a crucial part of the technical frameworks for building case-based repositories. © 2011 European Federation for Medical Informatics. All rights reserved.","Case-based learning; Metadata; Patient consent; Repositories; Virtual patients","Medical education; Metadata; Multimedia systems; Case based learning; Metadata Standards; Multimedia resources; Patient consent; Repositories; Technical challenges; Technical frameworks; Virtual patients; Case based reasoning","Kononowicz, A.A.; Department of Bioinformatics and Telemedicine, Łazarza 16, Kraków, Poland; email: a.kononowicz@cyfronet.pl",,"IOS Press",09269630,9781607508052,,,"English","Stud. Health Technol. Informatics",Conference Paper,"Final","",Scopus,2-s2.0-83055168217
"Bittencourt I., Tadeu M., Costa E.","15924917400;55891772700;35618052700;","Combining AI techniques into a legal agent-based intelligent tutoring system",2006,"18th International Conference on Software Engineering and Knowledge Engineering, SEKE 2006",,,,"35","40",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247199953&partnerID=40&md5=04da9116b7d46c05ca4d090c1da543bd","Federal University of Alagoas, Instituto de Computação Tabuleiro Dos Martins, Postal Code 57, 072-970 Maceío - AL, Brazil","Bittencourt, I., Federal University of Alagoas, Instituto de Computação Tabuleiro Dos Martins, Postal Code 57, 072-970 Maceío - AL, Brazil; Tadeu, M., Federal University of Alagoas, Instituto de Computação Tabuleiro Dos Martins, Postal Code 57, 072-970 Maceío - AL, Brazil; Costa, E., Federal University of Alagoas, Instituto de Computação Tabuleiro Dos Martins, Postal Code 57, 072-970 Maceío - AL, Brazil","Computer based learning gets more and more important in higher education Particularly, in Legal domain, students have little chance to deal with realistic situations One way to alleviate this problem is to provide Law students with real cases, rules and different viewpoints of which a given body of knowledge is often recognized as important to their successful learning We propose a novel approach to ITS applied to Legal domain in order to address each of the above concerns Then, we define an agent-based architecture to support multiple views of domain knowledge, aiming to improve the quality of student-ITS interactions and the learning success of the students Each tutoring agent from the system contains a knowledge-based system that combines case-based reasoning and rule-based system In addition, each agent adopts the reinforcement learning Algorithm aiming to identifying the best pedagogical strategy by considering the student profile This paper focuses on both architecture and the mentioned Artificial Intelligence techniques into a Legal System Finally, an example scenario is shown to demonstrate the feasibility of our approach.",,"Agent-based architecture; Artificial intelligence techniques; Body of knowledge; Computer-based learning; Domain knowledge; Intelligent tutoring system; Pedagogical strategies; Rule-based system; Computer aided instruction; Education computing; Knowledge based systems; Knowledge engineering; Reinforcement learning; Students; Teaching; Software engineering","Federal University of Alagoas, Postal Code 57, 072-970 Maceío - AL, Brazil",,,,9781627486606,,,"English","Int. Conf. Softw. Eng. Knowl. Eng., SEKE",Conference Paper,"Final","",Scopus,2-s2.0-34247199953
"Schild U.J., Kerner Y.","6602569291;6507568999;","Multiple Explanation Patterns",1994,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","837 LNAI",,,"353","364",,3,"10.1007/3-540-58330-0_99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844564705&doi=10.1007%2f3-540-58330-0_99&partnerID=40&md5=f172cf98d9c2fea9d66f11678f8fdd15","Department of Mathematics and Computer Science, Bar Ilan University, Ramat-Gan, 52900, Israel","Schild, U.J., Department of Mathematics and Computer Science, Bar Ilan University, Ramat-Gan, 52900, Israel; Kerner, Y., Department of Mathematics and Computer Science, Bar Ilan University, Ramat-Gan, 52900, Israel","In the Case-Based Reasoning paradigm cases are often given initially in natural language in the form of a “story”. While this textual form is appropriate for humans, it is often not suitable for direct application by a computer. Our paper uses the legal domain of sentencing for criminal offences to illustrate an approach to indexing, knowledge representation of stories and their application in reasoning. This approach extends the well-known concept of Explanation Patterns. © Springer-Verlag Berlin Heidelberg 1994.","CBR; Explanation patterns; Legal applications","Crime; Knowledge representation; Criminal offences; Explanation patterns; Legal domains; Natural languages; Case based reasoning",,"Wess S.Althoff K.-D.Richter M.M.","Springer Verlag",03029743,9783540583301,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-26844564705
"Fungwacharakorn W., Tsushima K., Satoh K.","56308282100;55745317700;7403151118;","Resolving counterintuitive consequences in law using legal debugging",2021,"Artificial Intelligence and Law","29","4",,"541","557",,2,"10.1007/s10506-021-09283-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103677121&doi=10.1007%2fs10506-021-09283-7&partnerID=40&md5=32c858dd71afe67c7bbf01ad9b1f2f9a","National Institute of Informatics, Sokendai University, Tokyo, Japan","Fungwacharakorn, W., National Institute of Informatics, Sokendai University, Tokyo, Japan; Tsushima, K., National Institute of Informatics, Sokendai University, Tokyo, Japan; Satoh, K., National Institute of Informatics, Sokendai University, Tokyo, Japan","There are cases in which the literal interpretation of statutes may lead to counterintuitive consequences. When such cases go to high courts, judges may handle these counterintuitive consequences by identifying problematic rule conditions. Given that the law consists of a large number of rule conditions, it is demanding and exhaustive to figure out which condition is problematic. For solving this problem, our work aims to assist judges in civil law systems to resolve counterintuitive consequences using logic program representation of statutes and Legal Debugging. The core principle of Legal Debugging is to cooperate with a user to find a culprit, a root cause of counterintuitive consequences. This article proposes an algorithm to resolve a culprit. Since the statutes are represented by logic rules but changes in law are initiated by cases, we adopt a prototypical case with judgement specified by a set of rules. Then, to resolve a culprit, we reconstruct a program so that it provides reasons as if we applied case-based reasoning to a new set of prototypical cases with judgement, which include a new set of facts relevant to a considering case. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.","Algorithmic debugging; Legal debugging; Legal reasoning; Legal representation","Case based reasoning; Computer circuits; Logic programming; Civil laws; High Courts; Logic programs; Logic rules; Root cause; Set of rules; Program debugging","Fungwacharakorn, W.; National Institute of Informatics, Japan; email: wachara.f@nii.ac.jp",,"Springer Science and Business Media B.V.",09248463,,AINLE,,"English","Artif Intell Law",Article,"Final","",Scopus,2-s2.0-85103677121
"Bakaev M., Khvorostov V.","25031447300;57190120508;","Component-based engineering of web user interface designs for evolutionary optimization",2018,"Proceedings - 2018 IEEE/ACIS 19th International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2018",,,"8441135","335","340",,2,"10.1109/SNPD.2018.8441135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053550269&doi=10.1109%2fSNPD.2018.8441135&partnerID=40&md5=3542ef4af99e40698dd335e23f79d5e1","Automated Control Systems Department, Novosibirsk State Technical University, Novosibirsk, Russian Federation","Bakaev, M., Automated Control Systems Department, Novosibirsk State Technical University, Novosibirsk, Russian Federation; Khvorostov, V., Automated Control Systems Department, Novosibirsk State Technical University, Novosibirsk, Russian Federation","Component-based approach has proved its effectiveness in modern web engineering, where programmers increasingly rely on web development frameworks. In front-end web development parts of available solutions cannot be reused directly, due to technical and legal obstacles, so we propose a specific process to generate web user interfaces (WUI) designs from configurable components. The similarity between the generated designs and the exemplary high-quality solutions retrieved from case base is then optimized within the evolutionary algorithm. In our current paper we designate the structure of the components and justify the employment of Drupal as the organizational framework. We also describe the implementation details, including the two supplemental software tools that we developed: 1) web intelligence miner that collects website-related data from linked open data sources and 2) web UI screenshot analyzer that converts it into semantic-spatial representation in JSON format. Finally, we specify the new solutions generation algorithm, per the three WUI dimensions: Functionality, layout and visual appearance. © 2018 IEEE.","case-based reasoning; evolutionary algorithms; software components; user interface design; web engineering","Case based reasoning; Evolutionary algorithms; Optimization; Semantics; Software design; Websites; Component based approach; Component-based engineering; Evolutionary optimizations; Organizational frameworks; Software component; User interface designs; Web development frameworks; Web engineering; User interfaces",,"Hwang H.J.Cai L.Yeom G.H.Matsuo T.Kim H.K.Yeo H.Hong C.S.Fukuta N.Ito T.Miao H.","Institute of Electrical and Electronics Engineers Inc.",,9781538658895,,,"English","Proc. - IEEE/ACIS Int. Conf. Softw. Eng., Artif. Intell., Netw. Parallel/Distrib. Comput., SNPD",Conference Paper,"Final","",Scopus,2-s2.0-85053550269
"Thuma E., Motlogelwa N.P.","55871170400;57193643703;","On the importance of legal catchphrases in precedence retrieval",2017,"CEUR Workshop Proceedings","2036",,,"92","94",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041437176&partnerID=40&md5=e1ae7689e7e2e7a7e206f5f5438146ab","University of Botswana, Department of Computer Science, Gaborone, Botswana","Thuma, E., University of Botswana, Department of Computer Science, Gaborone, Botswana; Motlogelwa, N.P., University of Botswana, Department of Computer Science, Gaborone, Botswana","This paper presents our working notes for FIRE 2017, Information Retrieval from Legal documents - Task 2 (Precedence retrieval). Common Law Systems around the world recognize the importance of precedence in Law. In making decisions, Judges are obliged to consult prior cases that had already been decided to ensure that there is no divergence in treatment of similar situations in different cases. Our approach was to investigate the effectiveness of using legal catchphrases in precedence retrieval. To improve retrieval performance, we incorporated term dependency in our retrieval. In addition, we investigate the effects of deploying query expansion on the retrieval performance. Our results show an improvement in the retrieval performance when we incorporate term dependence in scoring and ranking prior cases. However, we see a degradation in the retrieval performance when we deploy query expansion.","Legal catch-phrases; Precedent retrieval; Query expansion; Term dependency","Expansion; Fires; Common law; Legal catch-phrases; Legal documents; Making decision; Precedent retrieval; Query expansion; Retrieval performance; Term dependency; Information retrieval",,"Majumder P.Sankhavara J.Mitra M.Mehta P.","CEUR-WS",16130073,,,,"English","CEUR Workshop Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85041437176
"Quemy A.","56560057300;","Data science techniques for law and justice: Current state of research and open problems",2017,"Communications in Computer and Information Science","767",,,"302","312",,2,"10.1007/978-3-319-67162-8_30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029790396&doi=10.1007%2f978-3-319-67162-8_30&partnerID=40&md5=91939648b261277de0fd09a79313bb5d","IBM Poland Software Lab, Cracow, Poland; Faculty of Computing, Poznań University of Technology, Poznań, Poland","Quemy, A., IBM Poland Software Lab, Cracow, Poland, Faculty of Computing, Poznań University of Technology, Poznań, Poland","By comparing the state of research in Legal Analysis to the needs of legal agents, we extract four fundamental problems and discuss how they are covered by the current best approaches. In particular, we review the recent statistical models, relying on Machine Learning coupled to Natural Language Processing techniques, and the Abstract Argumentation applied to the legal domain before giving some new perspectives of research. © 2017, Springer International Publishing AG.","Abstract Argumentation; Case-Based Reasoning; Legal analysis","Case based reasoning; Information systems; Learning algorithms; Learning systems; Natural language processing systems; Abstract argumentation; Legal analysis; Legal domains; Natural languages; On-machines; State of research; Big data","Quemy, A.; IBM Poland Software LabPoland; email: aquemy@pl.ibm.com","Darmont J.Kirikova M.Norvag K.Wrembel R.Papadopoulos G.A.Gamper J.Rizzi S.","Springer Verlag",18650929,9783319671611,,,"English","Commun. Comput. Info. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-85029790396
"Araszkiewicz M.","36682023500;","Incorporation of complex doctrinal theories in a model of statutory interpretation: An example of adequate causal link",2015,"Proceedings of the International Conference on Artificial Intelligence and Law","08-12-June-2015",,,"161","165",,2,"10.1145/2746090.2746114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959164550&doi=10.1145%2f2746090.2746114&partnerID=40&md5=bb88caec2681756b2a27a432ef64edf0","Department of Legal Theory, Faculty of Law and Administration, Jagiellonian University, Gołębia 24, Kraków, 31-007, Poland","Araszkiewicz, M., Department of Legal Theory, Faculty of Law and Administration, Jagiellonian University, Gołębia 24, Kraków, 31-007, Poland","This paper shows how a complex legal doctrinal theory (the doctrine of causation in law) may be represented in a semi-formal, two-layered model of statutory interpretation. The content of the theory is clarified by the proposed knowledge representation. It is argued that doctrinal theories in the reading proposed here are a source of intermediate legal concepts and, in consequence, of rules that enable the judge to argue efficiently in complex cases without entering into wider considerations involving case-based reasoning structures. © 2015 ACM.","Argumentation schemes; Causation; Civil law; Knowledge representation; Legal interpretation","Artificial intelligence; Knowledge representation; Argumentation schemes; Causation; Civil laws; Layered model; Legal concepts; Legal interpretation; Case based reasoning","Araszkiewicz, M.; Department of Legal Theory, Gołębia 24, Poland; email: michal.araszkiewicz@uj.edu.pl",,"Association for Computing Machinery",,9781450335225,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-84959164550
"Nagata A., Kobayashi T., Hasegawa K., Moroga K., Kuriyama Y., Ohno T.","7103147804;56415359900;56415641300;57194530009;56416006800;56400022900;","Development of the case-based reasoning system for regional science and technology policy: An interim report",2014,"PICMET  2014 - Portland International Center for Management of Engineering and Technology, Proceedings: Infrastructure and Service Integration",,,"6921325","135","139",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910156822&partnerID=40&md5=682af72b19d7e6efaab76ceab53eabb4","Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan","Nagata, A., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan; Kobayashi, T., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan; Hasegawa, K., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan; Moroga, K., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan; Kuriyama, Y., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan; Ohno, T., Center for Science, Technology and Innovation Policy Studies, Kyushu University, Fukuoka, Japan","Various types of policy to promote regional science and technology have been introduced in Japan since the 1980's. Although those policies have achieved a degree of success in fostering entrepreneurs and developing human networks, some remaining problems have been pointed out regarding the fact that the policy target of sustainable revitalization of regions has not been realized. In this Paper, we report an interim result of the project aims to develop a decision-making support system with applied case-based reasoning to contribute to the resolution of these problems. Case-based reasoning is a technique for problem-solving based on the solution of similar past cases. The system of reasoning has been put to practical use in engineering problem-solving, diagnosis, decision making on managerial issues, legal reasoning and so on. By applying the technique of planning and problem-solving to regional science, technology and innovation policy, the sharing of useful knowledge for regional revitalization among regions becomes possible. The scheme of this project includes a large-scale acquisition of case information, construction of database, analyses of success factors of policies, and the development of rules of inference and their implementation. © 2014 PICMET.",,"Decision making; Laws and legislation; Case based reasoning systems; Case informations; Decision making support system; Engineering problem solving; Science and Technology; Science and technology policy; Success factors; Technology and Innovation Policy; Case based reasoning","Nagata, A.; Center for Science, Japan","Kocaoglu D.F.Anderson T.R.Daim T.U.Kozanoglu D.C.Niwa K.Perman G.","Institute of Electrical and Electronics Engineers Inc.",,9781890843304,,,"English","PICMET - Portland Int. Cen. Manage. Eng. Technol., Proc.: Infrastruct. Serv. Integr.",Conference Paper,"Final","",Scopus,2-s2.0-84910156822
"Rissland E.L., Xu X.","6701660287;7405294753;","Using case-based tests to detect gray cygnets",2011,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6880 LNAI",,,"258","273",,2,"10.1007/978-3-642-23291-6_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863137245&doi=10.1007%2f978-3-642-23291-6_20&partnerID=40&md5=3773fa58fb6d62119621f4041b1e7dce","Department of Computer Science, University of Massachusetts, Amherst, MA 01003, United States","Rissland, E.L., Department of Computer Science, University of Massachusetts, Amherst, MA 01003, United States; Xu, X., Department of Computer Science, University of Massachusetts, Amherst, MA 01003, United States","Black Swans are surprising, exceptional, provocative cases that instigate major change. Gray Cygnets follow a Black Swan, are highly similar to it, are also exceptional in outcome, and continue to provoke change. We discuss experiments with a family of tests designed to detect Gray Cygnet (GC) cases in a stream of cases following a known Black Swan case. Using the two classic CBR measures of lattice-based and nearest neighbor similarity, the tests use positional information about the Black Swan in the analysis of a new case, such as its being a supreme on-point case (sopc), a Level 1 (L1) case, or in the first ring of nearest neighbors (NN#1), to determine if it is a potential GC. The idea is that a case very similar to a known Black Swan might be a GC. Experiments performed on a corpus of cases from a well-known episode in legal history spanning the era from mid-1800's to mid-1900's showed tests using sopc's were very precise, while those using L1 cases had good recall. © 2011 Springer-Verlag.","Black Swans; Case Similarity; Case-Based Reasoning; Classification tests; Gray Cygnets; Supreme on-point case (sopc); Surprising cases","Black Swans; Case Similarity; Classification tests; Gray Cygnets; Supreme on-point case (sopc); Surprising cases; Artificial intelligence; Experiments","Rissland, E.L.; Department of Computer Science, , Amherst, MA 01003, United States; email: rissland@cs.umass.edu",,,03029743,9783642232909,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-84863137245
"Carey M.","49860989800;","Modeling authority commitments in two search and seizure cases",2011,"Proceedings of the International Conference on Artificial Intelligence and Law",,,,"181","188",,2,"10.1145/2018358.2018384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052416032&doi=10.1145%2f2018358.2018384&partnerID=40&md5=3b161c39a95390ae2f0015560274bc89","Thomson Reuters, Legal Editorial Operations, United States","Carey, M., Thomson Reuters, Legal Editorial Operations, United States","This paper proposes a method for modeling legal rules from common law jurisdictions in terms of the authority commitments they create for future cases. The purpose of this method is to capture information necessary for automated inferences about the strength of existing legal authority in favor of, or against, proposed statements of law. This data would have two potential uses. First, from the point of view of a given court and date, it would be possible to resolve the authority status of each legal rule, thus resolving conflicts between contradictory rules. Second, if the set of legal rules applicable to a particular court could be determined, it would be possible to apply those rules in a simulation of litigation in that court. The paper provides an example of authority-based reasoning by modeling rules from two cases about suppression of evidence derived from warrantless searches and seizures, and then demonstrating simple inferences about the status of those rules in federal and state courts in California. © 2011 ACM.","case-based reasoning; legal authority; legal knowledge representation; precedent; rule-based reasoning","California; Common law; Contradictory rules; legal authority; Legal knowledge representation; Legal rules; precedent; Rule based reasoning; Artificial intelligence; Knowledge representation; Laws and legislation","Carey, M.; Thomson Reuters, United States; email: mscarey@gmail.com",,,,9781450307550,85OAA,,"English","Proc Int Conf Artif Intell Law",Conference Paper,"Final","",Scopus,2-s2.0-80052416032
"Leeland A.M.","57195937072;","Case-based reasoning: Processes, suitability and applications",2011,"Case-Based Reasoning: Processes, Suitability and Applications",,,,"1","171",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943248397&partnerID=40&md5=16200a506dbab0e94460843b8985a711",,"Leeland, A.M.","Case-based reasoning (CBR), is the process of solving new problems based on the solutions of similar past problems. An auto mechanic who fixes an engine by recalling another car that exhibited similar symptoms is using case-based reasoning. A lawyer who advocates a particular outcome in a trial based on legal precedents and a physician, who considers the diagnosis and treatment of a previous patient having similar symptoms to determine the disease and treatment for the new patient, are using CBR; a prominent kind of analogy making. This new book presents current research in the field of CBR including business predicition researches of corporate failure using CBR, and mathematizing the Case-Based Reasoning process. © 2011 Nova Science Publishers, Inc.",,"Diagnosis; Patient treatment; Casebased reasonings (CBR); Case based reasoning",,,"Nova Science Publishers, Inc.",,9781617288142; 9781617283529,,,"English","Case-Based Reasoning: Processes, Suitabil. and Applications",Book,"Final","",Scopus,2-s2.0-84943248397
"Nouaouria N., Atil F., Laskri M.T., Bouyaya D., Amari A.H.","35293238700;14824607700;14825512300;14824543700;14824444700;","A case based tool as intelligent assistance to Mufti",2006,"Arabian Journal for Science and Engineering","31","1 B",,"75","87",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749370117&partnerID=40&md5=6ed4a5405e56934409b1d1cf3ae6a240","Department of Data Processing, Group of Research in Artificial Intelligence (GRIA), University Badji Mokhtar of Annaba, B.P. 12, Sidi Amar Annaba (23000), Algeria; Faculty of Islamic and Social Sciences, University of Batna, Algeria","Nouaouria, N., Department of Data Processing, Group of Research in Artificial Intelligence (GRIA), University Badji Mokhtar of Annaba, B.P. 12, Sidi Amar Annaba (23000), Algeria; Atil, F., Department of Data Processing, Group of Research in Artificial Intelligence (GRIA), University Badji Mokhtar of Annaba, B.P. 12, Sidi Amar Annaba (23000), Algeria; Laskri, M.T., Department of Data Processing, Group of Research in Artificial Intelligence (GRIA), University Badji Mokhtar of Annaba, B.P. 12, Sidi Amar Annaba (23000), Algeria; Bouyaya, D., Department of Data Processing, Group of Research in Artificial Intelligence (GRIA), University Badji Mokhtar of Annaba, B.P. 12, Sidi Amar Annaba (23000), Algeria; Amari, A.H., Faculty of Islamic and Social Sciences, University of Batna, Algeria","In this paper we focus our interest on reasoning modes in the legal domain and more exactly in the Islamic legislation field. The analogy reasoning mode, naturally used in the legal domain, possesses a variant, called case-based reasoning (CBR). It consists in solving a new problem by reusing the solution of a similar problem already met, and stored in a memory of cases. Numerous applications based on this new paradigm have been developed in both CBR problem-solving style (dealing with cognitive tasks like diagnosis, planning,...) and interpretative style (used in interpretation, justification, or projection). Interpretative case-based reasoning is a process of assessment of situations or solutions in a previous experience context. It is naturally daily used. Indeed, judges in their courthouses interpret a new situation in the light of case already met (case of jurisprudence). In the following, we are interested in applying this style of reasoning in the Islamic legislation field as a tool for information retrieval, which can be used during the process of Fatwa generation. In Islamic legislation, the Fatwa consists in the declaration of a legal opinion in respect of the Islamic precepts. El Bayane is a CBR system conceived to help a Mufti in generating Fatwas for the new situations, by using the Fatwas of past situations. It is not able to generate a new Fatwa from scratch, but it reuses the Fatwas, by imitating an imam.","Artificial Intelligence; Case Based Reasoning; Decision support; Information Retrieval; Islamic legislation",,"Nouaouria, N.; Department of Data Processing, B.P. 12, Sidi Amar Annaba (23000), Algeria; email: nouaouria_nabila@yahoo.fr",,"Springer Verlag",2193567X,,,,"English","Arab. J. Sci. Eng.",Article,"Final","",Scopus,2-s2.0-33749370117
"Wang R., Zeng Y.","55825442900;13608971700;","Nonlinear nearest-neighbour matching and its application in legal precedent retrieval",2005,"Proceedings - 3rd International Conference on Information Technology and Applications, ICITA 2005","I",,"1488823","341","346",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646762463&partnerID=40&md5=75a82665a362fe0d8598633ae3c15724","Institute of Information Sciences and Technology, Massey University, Private Bag 11222, Palmerston North, New Zealand","Wang, R., Institute of Information Sciences and Technology, Massey University, Private Bag 11222, Palmerston North, New Zealand; Zeng, Y., Institute of Information Sciences and Technology, Massey University, Private Bag 11222, Palmerston North, New Zealand","Case-Based Reasoning (CBR) has been widely and successfully applied in legal precedent retrieval. Traditional Nearest-Neighbour (NN) matching has shown that it is not capable of dealing with the situations that the values of weights or dimensional matching scores are extremely high or low. These extreme situations have nonlinear psychological effects on the aggregate marching scores. Generalized Nearest-Neighbour (GNN) matching improved NN matching in certain situations, but it is not generally applicable and it can cause an unexpected ranking. In order to improve the limitation of NN matching and complement the deficiency of GNN matching, we propose a novel Nonlinear Nearest-Neighbour (NNN) matching function based on the adjustments for nonlinear effects and the fuzzy logic inference. In this paper, we also describe how we apply NNN matching in our legal precedent retrieval system. © 2005 IEEE.",,"Fuzzy sets; Information science; Information technology; Mathematical techniques; Case-Based Reasoning (CBR); Generalized Nearest-Neighbour (GNN); Legal precedent retrieval; Nonlinear effects; Nonlinear Nearest-Neighbour (NNN); Information retrieval","Wang, R.; Institute of Information Sciences and Technology, Private Bag 11222, Palmerston North, New Zealand; email: r.wang@massey.ac.nz",,,,0769523161; 9780769523163,,,"English","Proc. Int. Conf. Info. Technol. Applic.",Conference Paper,"Final","",Scopus,2-s2.0-33646762463
"Elhadi M.T.","57221771805;","Using statutes-based IR to drive legal CBR",2001,"Applied Artificial Intelligence","15","6",,"587","600",,2,"10.1080/088395101753199588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242322790&doi=10.1080%2f088395101753199588&partnerID=40&md5=1741eddc4d0562a03f0b56298f545143","Computer and Automation Institute, Hungarian Academy of Sciences, Budapest, Hungary; c/o Prof. T. Vámos, Comp. and Automat. Res. Institute, Hungarian Academy of Sciences, Lágymányosi u. 11., H-1111 Budapest, Hungary","Elhadi, M.T., Computer and Automation Institute, Hungarian Academy of Sciences, Budapest, Hungary, c/o Prof. T. Vámos, Comp. and Automat. Res. Institute, Hungarian Academy of Sciences, Lágymányosi u. 11., H-1111 Budapest, Hungary","A hybrid information retrieval (IR) system to drive case-based reasoning (CBR) in legal domains is presented. The paper points out the assumptions made and processes involved in a typical mental conceptualization - an intuitive model of how human beings represent, recognize and retrieve concepts. The world of general discourse is simplified into a narrow domain, limiting the set of concepts, terms, and structures. The limitation allows the application of stereotypical scenarios. Legislators' professional work creates, based on the logic of law, a natural basis for an indexing and retrieving structure which can be used as a front-end processor for a legal CBR system. The practical application of the combined IR-CBR system is demonstrated by experiments in Bankruptcy Case Law. The natural language description of a novel situation (case text) is the input, which is automatically classified for the production of similar cases' lists.",,"Automatic indexing; Information retrieval; Mathematical models; Natural language processing systems; Professional aspects; Case based reasoning; Front end processor; Intuitive model; Expert systems","Elhadi, M.T.; c/o Prof. T. Vámos, Lágymányosi u. 11., H-1111 Budapest, Hungary; email: elhadi@direct.ca",,,08839514,,AAINE,,"English","Appl Artif Intell",Article,"Final","",Scopus,2-s2.0-0242322790
